taxa basica de juros (selic);IBOV
1.000367063;0.9911
1.000367063;1.0178
1.000367063;0.9968
1.000367063;0.9918
1.000367063;1.0199
1.000367063;0.9999
1.000367063;1.003
1.000367063;1.0211
1.000367063;1.0204
1.000367063;0.989
1.000367063;1.0206
1.000367063;1.002
1.000367063;0.9821
1.000367063;0.979
1.000367063;1.0019
1.000367063;0.9804
1.000367063;0.9899
1.000367063;1.0086
1.000367063;0.9763
1.000367063;1.0082
1.000367063;0.9878
1.000367063;1.011
1.000367063;1.0197
1.000426587;0.9986
1.000426587;0.9727
1.000426587;1.0279
1.000426587;1.0009
1.000426587;0.9888
1.000426587;1.0105
1.000426587;0.9921
1.000426587;0.9944
1.000426587;0.973
1.000426587;1.0068
1.000426587;1.0228
1.000426587;0.9658
1.000426587;0.9777
1.000426587;1.0068
1.000426587;0.9753
1.000426587;1.0089
1.000426587;0.9997
1.000426587;1.0069
1.000426587;1.0116
1.000426587;1.0007
1.000426587;1.0166
1.000426587;0.9834
1.000426587;0.9862
1.000426587;0.965
1.000426587;1.0254
1.000426587;1.0069
1.000426587;1.0041
1.000426587;1.0183
1.00046627;1.0145
1.00046627;0.9929
1.00046627;1.0007
1.00046627;0.9895
1.00046627;0.9947
1.00046627;0.99
1.00046627;1.0023
1.00046627;1.008
1.00046627;0.9993
1.00046627;1.0563
1.00046627;1.0222
1.00046627;0.9926
1.00046627;0.9998
1.00046627;0.9937
1.00046627;0.9748
1.00046627;0.979
1.00046627;1.0189
1.00046627;0.9934
1.00046627;1.0051
1.00046627;1.0251
1.00046627;0.9928
1.00046627;0.9937
1.00046627;0.9983
1.00046627;0.9753
1.00046627;1.0102
1.00046627;1.0206
1.00046627;1.0022
1.00046627;0.9765
1.00046627;1.0125
1.00046627;1.003
1.00046627;1.0066
1.00046627;0.9933
1.00046627;0.9823
1.000505952;0.9996
1.000505952;0.9896
1.000505952;1.0042
1.000505952;1.0004
1.000505952;1.0206
1.000505952;0.9914
1.000505952;0.9777
1.000505952;1.0194
1.000505952;1.0011
1.000505952;1.0044
1.000505952;1.0044
1.000505952;1.0225
1.000505952;0.9956
1.000505952;1.0145
1.000505952;1.0011
1.000505952;1.02
1.000505952;1.0029
1.000505952;1.0208
1.000505952;1.0046
1.000505952;1.0103
1.000505952;0.99
1.000505952;1.0049
1.000505952;1.0115
1.000505952;1.0162
1.000505952;0.9946
1.000505952;1.0126
1.000505952;1.0006
1.000505952;1.006
1.000505952;1.0014
1.000505952;1.0129
1.000525794;1.0016
1.000525794;1.0057
1.000525794;0.9808
1.000525794;0.9956
1.000525794;1.0006
1.000525794;0.9781
1.000525794;0.9945
1.000525794;1.021
1.000525794;1.0047
1.000525794;0.9968
1.000525794;0.9955
1.000525794;1.0049
1.000525794;0.9881
1.000525794;0.9893
1.000525794;0.996
1.000525794;1.0214
1.000525794;1.0063
1.000525794;0.986
1.000525794;0.998
1.000525794;0.9969
1.000525794;0.9995
1.000525794;0.9875
1.000525794;1.0087
1.000525794;0.9943
1.000525794;0.9724
1.000525794;0.9833
1.000525794;0.9901
1.000525794;0.9842
1.000525794;0.9973
1.000525794;0.9913
1.000525794;0.9892
1.000525794;1.009
1.000525794;1.0013
1.000525794;1.0001
1.000545635;0.9916
1.000545635;0.9996
1.000545635;1.0113
1.000545635;1.0003
1.000545635;0.999
1.000545635;1.0187
1.000545635;1.015
1.000545635;1.0067
1.000545635;0.9741
1.000545635;1.0052
1.000545635;1.0114
1.000545635;1.0107
1.000545635;1.0138
1.000545635;1.0123
1.000545635;0.9968
1.000545635;0.9833
1.000545635;0.9968
1.000545635;0.9724
1.000545635;1.0176
1.000545635;0.9986
1.000545635;0.9914
1.000545635;0.9782
1.000545635;1.003
1.000545635;1.0113
1.000545635;0.9753
1.000545635;0.9983
1.000545635;0.9702
1.000545635;0.9924
1.000545635;0.994
1.000545635;0.9979
1.000545635;1.0091
1.000545635;1.0054
1.000545635;0.9943
1.000545635;0.9877
1.000545635;0.9949
1.000545635;1.0048
1.000545635;0.9949
1.000545635;0.9791
1.000545635;0.9969
1.000545635;1.013
1.000545635;0.9966
1.000545635;1.0018
1.000545635;1.0088
1.000545635;0.9978
1.000545635;1.0002
1.000545635;1.0143
1.000545635;1.0001
1.000545635;1.0091
1.000545635;1.0089
1.000545635;1.0187
1.000545635;1.0164
1.000545635;1.0215
1.000545635;0.9892
1.000545635;0.9844
1.000545635;0.9833
1.000545635;0.9966
1.000545635;1.0238
1.000545635;1.0011
1.000545635;0.969
1.000545635;0.993
1.000545635;1.0013
1.000545635;1.018
1.000545635;1.014
1.000545635;0.9971
1.000545635;0.9876
1.000545635;1.0118
1.000545635;0.9898
1.000545635;0.9938
1.000545635;0.997
1.000545635;1.0042
1.000545635;1.0085
1.000545635;1.0029
1.000545635;1.0012
1.000545635;1.0078
1.000545635;1.0014
1.000545635;1.0016
1.000545635;0.9984
1.000545635;1.0032
1.000545635;0.9991
1.000545635;0.9866
1.000545635;1.0088
1.000545635;1.0034
1.000545635;0.9937
1.000545635;1.0098
1.000545635;1.0092
1.000545635;1.0211
1.000545635;0.9923
1.000545635;0.9974
1.000545635;1.0092
1.000545635;1.0122
1.000545635;1.0027
1.000545635;0.9946
1.000545635;1.014
1.000545635;0.998
1.000545635;1.0177
1.000545635;1.0176
1.000545635;0.9946
1.000545635;1.0096
1.000545635;1.005
1.000545635;0.9755
1.000545635;0.9953
1.000545635;0.9912
1.000545635;1
